"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","225","Validate account balance against MySQL database","","2026-05-23","passed","2026-05-23","CDR MySQL Database Validation","database/mysql-validation.spec.js","",""
"","4","Validate Accounts contract response within performance threshold","","2026-05-23","passed","2026-05-23","Open Banking CDR API Performance Tests","performance/cdr-api-performance.spec.js","",""
"","3","Validate Transactions API Contract","","2026-05-23","passed","2026-05-23","Open Banking Transaction Contract Tests","api/cdr/transactions.spec.js","",""
"","26","Validate Active Consent Contract","","2026-05-23","passed","2026-05-23","Open Banking Consent Lifecycle Tests","api/cdr/consent.spec.js","",""
"","2","Validate Expired Consent Access","","2026-05-23","passed","2026-05-23","Open Banking Consent Lifecycle Tests","api/cdr/consent.spec.js","",""
"","379","Validate Accounts API Contract using external test data","","2026-05-23","passed","2026-05-23","Open Banking CDR Contract Tests","api/cdr/accounts.spec.js","",""
"","20","Validate Swagger/OpenAPI specification","","2026-05-23","passed","2026-05-23","Open Banking CDR OpenAPI Validation","api/cdr/openapi-validation.spec.js","",""
"","9","Validate Jira story CDR-101 acceptance criteria","","2026-05-23","passed","2026-05-23","Jira Traceability - CDR User Story Validation","api/cdr/jira-traceability.spec.js","",""
"","4444","Validate NAB homepage accessibility","","2026-05-23","passed","2026-05-23","NAB Accessibility Validation","accessibility/nab-accessibility.spec.js","",""
